Nucleo;Codtalhao;Ciclo;Rotacao;NumParcela;NumMedicao;CodTipoInventario;AnoRef;NumArvore;Arvore;SituacaoFuste;DescSituacaoFuste;Dap;AltMed
SP1;51B041;1;2;1;2;3;1999;4;3;N;Normal;9;13
SP1;51B041;1;2;1;2;3;1999;10;6;N;Normal;10;NA
SP1;51B041;1;2;1;2;3;1999;16;12;F;Falha Plantio;NA;NA
SP1;51B041;1;2;1;2;3;1999;22;18;T;Falha Brotacao ;NA;NA
SP1;51B041;1;2;1;2;3;1999;28;23;T;Falha Brotacao ;NA;NA
SP1;51B041;1;2;1;2;3;1999;34;28;T;Falha Brotacao ;NA;NA
SP1;51B041;1;2;1;2;3;1999;40;34;T;Falha Brotacao ;NA;NA
SP1;51B041;1;2;1;2;3;1999;46;40;N;Normal;7;NA
SP1;51B041;1;2;1;2;3;1999;52;45;T;Falha Brotacao ;NA;NA
SP1;51B041;1;2;1;2;3;1999;58;50;F;Falha Plantio;NA;NA
SP1;51B041;1;2;1;2;3;1999;64;55;N;Normal;6;NA
SP1;51B041;1;2;1;3;3;2000;6;4;N;Normal;12,5;19,5
SP1;51B041;1;2;1;3;3;2000;12;8;N;Normal;11,30000019;NA
SP1;51B041;1;2;1;3;3;2000;18;14;T;Falha Brotacao ;NA;NA
SP1;51B041;1;2;1;3;3;2000;24;20;T;Falha Brotacao ;NA;NA
SP1;51B041;1;2;1;3;3;2000;30;25;T;Falha Brotacao ;NA;NA
SP1;51B041;1;2;1;3;3;2000;36;30;T;Falha Brotacao ;NA;NA
SP1;51B041;1;2;1;3;3;2000;42;36;H;Dominante;15,60000038;20
SP1;51B041;1;2;1;3;3;2000;48;41;T;Falha Brotacao ;NA;NA
SP1;51B041;1;2;1;3;3;2000;54;47;N;Normal;11,60000038;NA
SP1;51B041;1;2;1;3;3;2000;60;52;T;Falha Brotacao ;NA;NA
SP1;51B041;1;2;1;4;3;2001;2;2;F;Falha Plantio;NA;NA
SP1;51B041;1;2;1;4;3;2001;8;5;H;Dominante;18,5;25,20000076
SP1;51B041;1;2;1;4;3;2001;14;9;N;Normal;9,300000191;NA
SP1;51B041;1;2;1;4;3;2001;20;15;T;Falha Brotacao ;NA;NA
SP1;51B041;1;2;1;4;3;2001;26;21;T;Falha Brotacao ;NA;NA
SP1;51B041;1;2;1;4;3;2001;32;26;N;Normal;8,800000191;NA
SP1;51B041;1;2;1;4;3;2001;38;31;T;Falha Brotacao ;NA;NA
SP1;51B041;1;2;1;4;3;2001;44;37;F;Falha Plantio;NA;NA
SP1;51B041;1;2;1;4;3;2001;50;42;T;Falha Brotacao ;NA;NA
SP1;51B041;1;2;1;4;3;2001;56;47;N;Normal;15,19999981;NA
SP1;51B041;1;2;1;4;3;2001;62;53;F;Falha Plantio;NA;NA
SP1;51B041;1;2;1;5;3;2002;3;3;N;Normal;6;11,19999981
SP1;51B041;1;2;1;5;3;2002;9;6;N;Normal;11,5;23,29999924
SP1;51B041;1;2;1;5;3;2002;15;10;T;Falha Brotacao ;NA;NA
SP1;51B041;1;2;1;5;3;2002;21;16;T;Falha Brotacao ;NA;NA
SP1;51B041;1;2;1;5;3;2002;27;22;N;Normal;13;NA
SP1;51B041;1;2;1;5;3;2002;33;26;N;Normal;15;NA
SP1;51B041;1;2;1;5;3;2002;39;32;N;Normal;17;NA
SP1;51B041;1;2;1;5;3;2002;45;38;F;Falha Plantio;NA;NA
SP1;51B041;1;2;1;5;3;2002;51;43;N;Normal;5,5;NA
SP1;51B041;1;2;1;5;3;2002;57;47;N;Normal;15,5;NA
SP1;51B041;1;2;1;5;3;2002;63;53;F;Falha Plantio;NA;NA
SP1;51B041;1;2;1;6;3;2003;3;3;N;Normal;7,199999809;12,80000019
SP1;51B041;1;2;1;6;3;2003;9;6;N;Normal;11,69999981;24
SP1;51B041;1;2;1;6;3;2003;15;10;T;Falha Brotacao ;NA;NA
SP1;51B041;1;2;1;6;3;2003;21;16;F;Falha Plantio;NA;NA
SP1;51B041;1;2;1;6;3;2003;27;22;N;Normal;13,69999981;NA
